Standard,Subject,Grade,Strand,Standard Number,Description,
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading,CCR : Reading,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,
College and Career Readiness Standards for ELA and Literacy,English,A,Reading Informational Text/Reading Literature,CCR (RI/RL.1.1),Ask and answer questions about key details in a text.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text/Reading Literature,CCR (RI/RL.2.1),"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text/Reading Literature,CCR (RI/RL.4.1),Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text/Reading Literature,CCR (RI/RL.5.1),Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.,
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text/Reading Literature,CCR (RI/RL.7.1),Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Historical/Social Studies Text,CCR (RH.6-8.1),Application: cite specific textual evidence to support analysis of primary and secondary sources,
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Scientific and Technical Text,CCR (RST.6-8.1),Application: cite specific textual evidence to support analysis of science and technical texts.,
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text/Reading Literature,CCR (RI/RL.9-10.1),Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Historical/Social Studies Text,CCR (RH.9-10.1),"Application: cite specific textual evidence to support analysis of primary and secondary sources, attending to such features as the date and origin of the information",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Scientific and Technical Text,CCR (RST.9-10.1),"Application: cite specific textual evidence to support analysis of science and technical texts, attending to the precise details of explanations or descriptions.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading,CCR : Reading,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,
College and Career Readiness Standards for ELA and Literacy,English,A,"
Reading Informational Text",CCR (RI.1.2),"Identify the main topic and retell key details of a text
",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.3.2),Determine the main idea of a text; recount the key details and explain how they support the main idea.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.4.2),Determine the main idea of a text and explain how it is supported by key details; summarize the text.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Literature,CCR (RL.4.2),"Determine a theme of a story, drama, or poem from details in the text; summarize the text",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text/Reading Literature,CCR (RI/RL.6.2),Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.,
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Scientific and Technical Text,CCR (RST.6-8.2),Application: determine the central ideas or conclusions of a text; provide an accurate summary of the text distinct from prior knowledge or opinions.,
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text/Reading Literature,CCR (RI/RL.9-10.2),"Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text/Reading Literature,CCR (RST.11-12.2),"Determine the central ideas or conclusions of a text; summarize complex concepts, processes, or information presented in a text by paraphrasing them in simpler but still accurate terms.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading,CCR : Reading,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading Informational Text,CCR (RI.1.3),"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.3.3),"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.4.3),"Explain events, procedures, ideas, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text,CCR (RI.8.3),"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories)",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Historical/Social Studies Text,CCR (RH.6-8.3),"Application: identify key steps in a text’s description of a process related to history/social studies (e.g., how a bill becomes law, how interest rates are raised or lowered)",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Scientific and Technical Text,CCR (RST.6-8.3),"Follow precisely a multistep procedure when carrying out experiments, taking measurements, or performing technical tasks.",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RI.11-12.3),"Analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop over the course of the text.",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Historical/Social Studies Text,CCR (RH.9-10.3),Analyze in detail a series of events described in a text; determine whether earlier events caused later ones or simply preceded them.,
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Scientific and Technical Text,CCR (RST.9-10.3),"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks, attending to special cases or exceptions defined in the text",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading,CCR : Reading,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading Informational Text,CCR (RI.1.4),Ask and answer questions to help determine or clarify the meaning of words and phrases in a text,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.3.4),Determine the meaning of general academic and domainspecific words and phrases in a text relevant to a topic or subject area,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.5.4),Determine the meaning of general academic and domainspecific words and phrases in a text relevant to a topic or subject area.,
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Literature,CCR (RL.5.4),"Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes.",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text/Reading Literature,CCR (RI/RL.6.4),"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of a specific word choice on meaning and tone",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text/Reading Literature,CCR (RI/RL.9-10.4),"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language of a court opinion differs from that of a newspaper)",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RST.9-10.4),"Application: determine the meaning of symbols, key terms, and other domainspecific words and phrases as they are used in a specific scientific or technical context",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading,CCR : Reading,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",
College and Career Readiness Standards for ELA and Literacy,English,A,Reading Informational Text,CCR (RI.1.5),"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text.",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.2.5),"Know and use various text features (e.g., captions, bold print, subheadings, glossaries, indexes, electronic menus, icons) to locate key facts or information in a text efficiently",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.3.5),"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.4.5),"Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in a text or part of a text.",
College and Career Readiness Standards for ELA and Literacy,English,C,Reading Informational Text,CCR (RI.5.5),"Compare and contrast the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in two or more texts",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text,CCR (RI.6.5),"Analyze how a particular sentence, paragraph, chapter, or section fits into the overall structure of a text and contributes to the development of the ideas.",
College and Career Readiness Standards for ELA and Literacy,English,D,Reading Informational Text,CCR (RI.7.5),"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to the development of the ideas.
",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RI.9-10.5),"Analyze in detail how an author’s ideas or claims are developed and refined by particular sentences, paragraphs, or larger portions of a text (e.g., a section or chapter)",
College and Career Readiness Standards for ELA and Literacy,English,E,Reading Informational Text,CCR (RI.11-12.5),"Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging.",
College and Career Readiness Standards for ELA and Literacy,English,Anchor Standards,Reading,CCR : Reading,Assess how point of view or purpose shapes the content and style of a text.,
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.2.6),"Identify the main purpose of a text, including what the author wants to answer, explain, or describe.",
College and Career Readiness Standards for ELA and Literacy,English,B,Reading Informational Text,CCR (RI.3.6),Distinguish their own point of view from that of the author of a text.,
