Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.A,Know number names and the count sequence.,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.A.1,Count to 100 by ones and by tens.,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.A.2,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.A.3,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.B,Count to tell the number of objects.,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.B.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.B.4a,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.B.4b,Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.B.4c,Understand that each successive number name refers to a quantity that is one larger.,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.B.5,"Count to answer how many?"" questions about as many as 20 things arranged in a line",,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.C,Compare numbers.,,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.C.6,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.",,,,
Iowa Core Standards: Math,Math,K,Counting & Cardinality,K.CC.C.7,Compare two numbers between 1 and 10 presented as written numerals.,,,,
Iowa Core Standards: Math,Math,K,Operations & Algebraic Thinking,K.OA.A,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",,,,
Iowa Core Standards: Math,Math,K,Operations & Algebraic Thinking,K.OA.A.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.",,,,
Iowa Core Standards: Math,Math,K,Operations & Algebraic Thinking,K.OA.A.2,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.",,,,
Iowa Core Standards: Math,Math,K,Operations & Algebraic Thinking,K.OA.A.3,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",,,,
Iowa Core Standards: Math,Math,K,Operations & Algebraic Thinking,K.OA.A.4,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.",,,,
Iowa Core Standards: Math,Math,K,Operations & Algebraic Thinking,K.OA.A.5,Fluently add and subtract within 5.,,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.A,Represent and solve problems involving addition and subtraction.,,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.A.1,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.A.2,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",,,,
Iowa Core Standards: Math,Math,2,Operations & Algebraic Thinking,2.OA.A,Represent and solve problems involving addition and subtraction.,,,,
Iowa Core Standards: Math,Math,2,Operations & Algebraic Thinking,2.OA.A.1,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.B,Understand and apply properties of operations and the relationship between addition and subtraction.,,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.B.3,Apply properties of operations as strategies to add and subtract.,,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.B.4,Understand subtraction as an unknown-addend problem.,,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.C,Add and subtract within 20.,,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.C.5,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.C.6,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).",,,,
Iowa Core Standards: Math,Math,2,Operations & Algebraic Thinking,2.OA.B,Add and subtract within 20.,,,,
Iowa Core Standards: Math,Math,2,Operations & Algebraic Thinking,2.OA.B.2,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.",,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.D,Work with addition and subtraction equations.,,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.D.7,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false.",,,,
Iowa Core Standards: Math,Math,1,Operations & Algebraic Thinking,1.OA.D.8,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.,,,,
Iowa Core Standards: Math,Math,2,Operations & Algebraic Thinking,2.OA.C,Work with equal groups of objects to gain foundations for multiplication.,,,,
Iowa Core Standards: Math,Math,2,Operations & Algebraic Thinking,2.OA.C.3,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.",,,,
Iowa Core Standards: Math,Math,2,Operations & Algebraic Thinking,2.OA.C.4,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.A,Represent and solve problems involving multiplication and division.,,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.A.1,"Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each.",,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.A.2,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each.",,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.A.3,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.A.4,Determine the unknown whole number in a multiplication or division equation relating three whole numbers.,,,,
Iowa Core Standards: Math,Math,3,Operations & Algebraic Thinking,3.OA.B,Understand properties of multiplication and the relationship between multiplication and division.,,,,
