Standard,Subject,Grade,Strand,Standard Number,Description
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.A.a,"Predicting what might happen next in a text based on the cover, title, and illustrations."
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.A.b,Asking and responding to questions about texts read aloud.
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.A.c,Retelling main ideas or important facts from a read aloud or familiar story.
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.A.d,Connecting the information and events of a text to experiences.
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.A.e,"Recognizing beginning, middle, and end."
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.A.a,Predicting what will happen next using prior knowledge.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.A.b,Asking and responding to relevant questions.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.A.c,Seeking clarification and locating facts and details about stories and other texts.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.A.d,Retelling main ideas in sequence including key details.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.A.e,"Recognizing beginning, middle, and end."
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.A.f,Monitoring comprehension and making corrections and adjustments when that understanding breaks down.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.A.a,"Using text features to make and confirm predictions, or explain why not confirmed."
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.A.b,Asking and responding to relevant questions.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.A.c,Seeking clarification and using information/facts and details about texts and supporting answers with evidence from text.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.A.d,"Retelling a story's beginning, middle, and end and determining their central message, lesson or moral."
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.A.e,Monitoring comprehension and making corrections and adjustments when understanding breaks down.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.A.a,Explain how specific aspects of a text's illustrations contribute to what is conveyed by the words in a story.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.A.b,Draw conclusions and support with textual evidence.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.A.c,"Summarizing a story's beginning, middle, and end, determining their central message, lesson or moral."
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.A.d,Monitoring comprehension and making corrections and adjustments when understanding breaks down.
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.A.a,"Drawing conclusions, inferring by referencing textual evidence of what the text says explicitly as well as inferences drawn from the text."
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.A.b,Drawing conclusions by providing textual evidence of what the text says explicitly.
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.A.c,Monitoring comprehension and making corrections and adjustments when understanding breaks down.
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.A.a,"Drawing conclusions, inferring by referencing textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text."
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.A.b,Drawing conclusions by providing textual evidence of what the text says explicitly as well as inferences drawn from the text.
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.A.c,Monitoring comprehension and making corrections and adjustments when understanding breaks down.
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.B.a,Identifying and sorting pictures of objects into conceptual categories.
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.B.b,Demonstrating understanding of opposites (antonyms).
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.B.c,Distinguishing meaning between verbs describing the same action.
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.B.d,Using a picture dictionary to find words.
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.B.e,"Use words and phrases acquired through conversations, reading and being read to and responding to texts."
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.a,Use common affixes to figure out the meaning of a word.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.b,Identify common root words and their inflectional endings.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.c,"Identifying words that name actions and words that name persons, places, or things."
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.d,Recognizing that compound words are made up or shorter words.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.e,Determining what words mean from how they are used in context of a sentence either heard or read.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.f,Sorting words into conceptual categories.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.g,Distinguishing shade of meaning among verbs and adjectives.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.h,Locating words in a dictionary.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.B.i,"Use words and phrases acquired through conversations, reading and being read to and responding to texts."
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.B.a,"Using prefixes, root words, and suffixes to determine the meaning of words."
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.B.b,Using knowledge of the meaning of individual words to determine the meaning of compound words.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.B.c,Using context to determine the meaning of a new word or multiple-meaning word in text.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.B.d,Using antonyms and synonyms.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.B.e,Locating words in a dictionary or glossary to determine or clarify the meaning of words or phrases.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.B.f,Distinguishing meaning among closely related verbs and adjectives.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.B.g,Recognizing that some words have literal and non-literal meanings.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.B.h,"Using conversational, general academic, and domain-specific words and phrases."
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.a,Decoding and identifying the meaning of common prefixes and suffixes and knowing how they change the meaning of root words.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.b,Using sentence level context to determine the relevant meaning of unfamiliar words or distinguish among multiple meaning words.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.c,Using homographs and homophones.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.d,Distinguishing the literal and non-literal meanings of words and phrases in context.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.e,Determine the meaning of the new word formed when a known affix is added to a known base word.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.f,"Using a dictionary or a glossary to determine the meanings, syllabications, and pronunciation of unknown words."
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.g,Discussing analogies.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.h,Determining the meaning of the author's use of similes and metaphors to produce imagery.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.B.i,"Using conversational, general academic, and domain specific words and phrases."
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.B.a,"Determining the meaning of academic English words derived from Latin, Greek, or other linguistic roots, prefixes, and suffixes."
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.B.b,Using the context of the sentence to determine the meaning of unfamiliar words or multiple meaning words.
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.B.c,Completing analogies.
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.B.d,Identifying the meaning of common idioms and figurative language.
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.B.e,"Using a dictionary or glossary to determine the meanings, syllabication, and pronunciation or unknown words."
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.B.f,"Using conversational, general academic, and domain specific words and phrases."
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.B.a,"Determining the meaning of academic English words derived from Latin, Greek, or other linguistic root words , prefixes and suffixes through context."
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.B.b,Using context to determine meaning of unfamiliar or multiple meaning words.
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.B.c,Constructing analogies.
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.B.d,"Explaining the meaning of common idioms, adages, similes, metaphors, hyperboles and other sayings in text."
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.B.e,"Identifying and using words and phrases that signal contrast, addition, and other logical relationships."
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.B.f,"Using a dictionary, a glossary, or a thesaurus (printed or electronic) to determine pronunciations, parts of speech, meanings, and alternate word choices."
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.B.g,"Using conversational, general academic, and domain specific words and phrases."
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.C.a,Text to self (text ideas and own experiences).
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.C.b,Text to text (text ideas including similarities and differences in fiction and nonfiction).
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.C.a,Text to text (text ideas including similarities and differences in fiction and nonfiction).
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.C.a,Text to text (text ideas including similarities and differences in in information and relationships in fiction and nonfiction).
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.C.b,Text to world (text ideas to experiences in the world).
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.C.a,"Text to text (ideas and information in various fiction and nonfiction works, compare and contrast)."
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.C.b,Text to world (text ideas to experiences in the world).
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.C.a,"Text to text (ideas and information in various fiction and nonfiction works, compare and contrast)."
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.C.b,Text to world (text ideas and the world by demonstrating an awareness that literature reflects a culture and historic time frame).
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.C.a,"Text to text (ideas and information in various fiction and nonfiction works, compare and contrast)."
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.C.b,Text to world (text ideas and the world by responding to literature reflects a culture and historic time frame).
Missouri Learning Standards: ELA,English,K,Reading,K.R.1.D.a,Engaging with text as developmentally appropriate.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.D.a,Engaging with and reading text that is developmentally appropriate.
Missouri Learning Standards: ELA,English,1,Reading,1.R.1.D.b,Producing evidence of reading.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.D.a,Reading text that is developmentally appropriate.
Missouri Learning Standards: ELA,English,2,Reading,2.R.1.D.b,Producing evidence of reading.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.D.a,Reading text that is developmentally appropriate.
Missouri Learning Standards: ELA,English,3,Reading,3.R.1.D.b,Producing evidence of reading.
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.D.a,Reading text that is developmentally appropriate.
Missouri Learning Standards: ELA,English,4,Reading,4.R.1.D.b,Producing evidence of reading.
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.D.a,Reading text that is developmentally appropriate.
Missouri Learning Standards: ELA,English,5,Reading,5.R.1.D.b,Producing evidence of reading.
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.A.a,"Identify elements of a story, including setting, character, and key events."
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.A.b,Retell a main event from a stories read aloud and familiar stories.
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.A.c,Recognize sensory details and reoccurring phrases.
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.A.d,Recognize different types of texts.
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.A.e,Name author and illustrator of a story and describe how each is telling the story.
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.A.f,Compare and contrast adventures of characters in familiar stories.
Missouri Learning Standards: ELA,English,K,Reading,K.R.2.A.g,Ask and answer questions about unknown words in text.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.A.a,"Describe characters, setting, problem, solution and events in logical sequences."
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.A.b,Describe the main idea of a story.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.A.c,Describe sensory details.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.A.d,Explain recurring phrases and why they are used.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.A.e,Explain the actions of the main character and the reason for those act ions.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.A.f,Identify who is telling the story.
Missouri Learning Standards: ELA,English,1,Reading,1.R.2.A.g,Compare and contrast adventures and experiences of characters in stories.
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.A.a,"Describe setting, problems, solutions (plot), sequence of events, and the big idea, moral or lesson."
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.A.b,"Describe main characters in works of fiction, including their traits, motivations, and feelings."
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.A.c,"Compare and contrast different versions of the same story with respect to their characters, settings, and sequence of events."
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.A.d,Describe cause and effect relationships.
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.A.e,Explain how the story changes based on who is telling the story.
Missouri Learning Standards: ELA,English,2,Reading,2.R.2.A.f,Compare and contrast the differences in points of view of characters and how stories are narrated.
Missouri Learning Standards: ELA,English,3,Reading,3.R.2.A.a,Summarize and sequence the events/plot and explain past events impact future events.
