Standard,Subject,Grade,Strand,Standard Number,Description
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.A,Know number names and count sequence.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.A.1,Count to 100 by ones and tens.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.A.2,Count forward beginning from a given number between 1 and 20.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.A.3,Count backward from a given number between 10 and 1.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.A.4,Read and write numerals and represent a number of objects from 0 to 20.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.B,Understand the relationship between numbers and quantities; connect counting to cardinality.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.B.5,"Say the number names when counting objects, in the standard order, pairing each object with one and only one number name and each number name with one and only one object."
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.B.6,Demonstrate that the last number name said tells the number of objects counted and the number of objects is the same regardless of their arrangement or the order in which they were counted.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.B.7,Demonstrate that each successive number name refers to a quantity that is one larger than the previous number.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.B.8,"Recognize, without counting, the quantity of groups up to 5 objects arranged in common patterns."
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.B.9,"Demonstrate that a number can be used to represent how many"" are in a set."""
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.C,Compare numbers.
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.C.10,"Compare two or more sets of objects and identify which set is equal to, more than or less than the other."
Missouri Learning Standards: Math,Math,K,The Number System,K.NS.C.11,"Compare two numerals, between 1 and 10, and determine which is more than or less than the other."
Missouri Learning Standards: Math,Math,1,The Number System,1.NS.A,Understand and use numbers up to 120.
Missouri Learning Standards: Math,Math,1,The Number System,1.NS.A.1,"Count to 120, starting at any number less than 120."
Missouri Learning Standards: Math,Math,1,The Number System,1.NS.A.2,Read and write numerals and represent a number of objects with a written numeral.
Missouri Learning Standards: Math,Math,1,The Number System,1.NS.A.3,Count backward from a given number between 20 and 1.
Missouri Learning Standards: Math,Math,1,The Number System,1.NS.A.4,Count by 5s to 100 starting at any multiple of five.
Missouri Learning Standards: Math,Math,K,Number & Operations in Base Ten,K.NBT.A,Work with numbers 11–19 to gain foundations for place value.
Missouri Learning Standards: Math,Math,K,Number & Operations in Base Ten,K.NBT.A.1,Compose and decompose numbers from 11 to 19 into sets of tens with additional ones.
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.A,Understand place value of two-digit numbers.
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.A.1,"Understand that 10 can be thought of as a bundle of 10 ones – called a ten""."""
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.A.2,Understand two-digit numbers are composed of ten(s) and one(s).
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.A.3,"Compare two two-digit numbers using the symbols >, = or <."
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.A.4,Count by 10s to 120 starting at any number.
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B,Use place value understanding to add and subtract.
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B.5,Add within 100.
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B.6,Calculate 10 more or 10 less than a given number mentally without having to count.
Missouri Learning Standards: Math,Math,1,Number & Operations in Base Ten,1.NBT.B.7,"Add or subtract a multiple of 10 from another two-digit number, and justify the solution."
