Standard,Subject,Grade,Strand,Standard Number,Description
Missouri Learning Standards: Science,Science,K,Physical Sciences,K.PS1.A,"Make qualitative observations of the physical properties of objects (i.e., size, shape, color, mass)."
Missouri Learning Standards: Science,Science,2,Physical Sciences,2.PS1.A.a,Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties.
Missouri Learning Standards: Science,Science,2,Physical Sciences,2.PS1.A.b,Analyze data obtained from testing different materials to determine which materials have the properties that are best suited for an intended purpose.
Missouri Learning Standards: Science,Science,3,Physical Sciences,3.PS1.A,"Predict and investigate that water can change from a liquid to a solid (freeze), and back again (melt), or from a liquid to a gas (evaporation), and back again (condensation) as the result of temperature changes."
Missouri Learning Standards: Science,Science,5,Physical Sciences,5.PS1.A.a,Develop a model to describe that matter is made of particles too small to be seen.
Missouri Learning Standards: Science,Science,5,Physical Sciences,5.PS1.A.b,"Measure and graph quantities to provide evidence that regardless of the type of change that occurs when heating, cooling, or mixing substances, the total weight of matter is conserved."
Missouri Learning Standards: Science,Science,3,Physical Sciences,3.PS1.B,Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.
Missouri Learning Standards: Science,Science,5,Physical Sciences,5.PS1.B.a,"Plan and conduct investigations to separate the components of a mixture/solution by their physical properties (i.e., sorting, filtration, magnets, screening)."
Missouri Learning Standards: Science,Science,5,Physical Sciences,5.PS1.B.b,Conduct an investigation to determine whether the combining of two or more substances results in new substances.
Missouri Learning Standards: Science,Science,K,Physical Sciences,K.PS2.A.a,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.
Missouri Learning Standards: Science,Science,K,Physical Sciences,K.PS2.A.b,"Describe ways to change the motion of an object (i.e., how to cause an object to go slower, go faster, go farther, change direction, stop)."
Missouri Learning Standards: Science,Science,2,Physical Sciences,2.PS2.A,Analyze data to determine how the motion of an object changed by an applied force or the mass of an object.
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS2.A.a,Make observations and/or measurements of an object's motion to provide evidence that a pattern can be used to predict future motion.
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS2.A.b,Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.
Missouri Learning Standards: Science,Science,3,Physical Sciences,3.PS2.B,Plan and conduct investigations to determine the cause and effect relationship of electric or magnetic interactions between two objects not in contact with each other.
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS2.B.b,Predict how changes in either the amount of force applied to an object or the mass of the object affects the motion (speed and direction) of the object.
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS2.B.a,"Plan and conduct a fair test to compare and contrast the forces (measured by a spring scale in Newtons) required to overcome friction when an object moves over different surfaces (i.e., rough/smooth)."
Missouri Learning Standards: Science,Science,5,Physical Sciences,5.PS2.B,Support an argument that the gravitational force exerted by Earth on objects is directed toward the planet's center.
Missouri Learning Standards: Science,Science,K,Physical Sciences,K.PS3.A,Make observations to determine the effect of sunlight on Earth's surface.
Missouri Learning Standards: Science,Science,1,Physical Sciences,1.PS3.A,"Identify the source of energy that causes an increase in the temperature of an object (e.g., Sun, stove, flame, light bulb)."
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS3.A,Use evidence to construct an explanation relating the speed of an object to the energy of that object.
Missouri Learning Standards: Science,Science,K,Physical Sciences,K.PS3.B,"With prompting and support, use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area"
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS3.B.a,"Provide evidence to construct an explanation of an energy transformation(e.g. temperature change, light, sound, motion, and magnetic effects)"
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS3.B.b,"Apply scientific ideas to design, test, and refine a device that converts energy from one form to another."
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS3.C,Use models to explain that simple machines change the amount of effort force and/or direction of force.
Missouri Learning Standards: Science,Science,5,Physical Sciences,5.PS3.D,"Use models to describe that energy stored in food (used for body repair, growth, motion, and to maintain body warmth) was once energy from the sun."
Missouri Learning Standards: Science,Science,1,Physical Sciences,1.PS4.A,Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.
Missouri Learning Standards: Science,Science,2,Physical Sciences,2.PS4.A,Plan and conduct investigations to provide evidence that changes in vibration create change in sound.
Missouri Learning Standards: Science,Science,4,Physical Sciences,4.PS4.A,Develop a model of waves to describe patterns in terms of amplitude or wavelength and that waves can cause objects to move.
Missouri Learning Standards: Science,Science,5,Physical Sciences,5.PS4.A,Develop a model to describe that objects can be seen only when light is reflected off them or when they produce their own light.
Missouri Learning Standards: Science,Science,1,Physical Sciences,1.PS4.C,Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.
Missouri Learning Standards: Science,Science,1,Life Sciences,1.LS1.A,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs."
Missouri Learning Standards: Science,Science,3,Life Sciences,3.LS1.A,"Construct an argument with evidence that in a particular ecosystem some organisms -- based on structural adaptations or behaviors -- can survive well, some survive less well, and some cannot survive at all."
Missouri Learning Standards: Science,Science,4,Life Sciences,4.LS1.A,"Construct an argument that plants and animals have internal and external structures that function to support survival, growth, behavior, and plant reproduction."
Missouri Learning Standards: Science,Science,5,Life Sciences,5.LS1.A,"Compare and contrast the major organs/organ systems (e.g. support, reproductive, digestive, transport/circulatory, excretory, response) that perform similar functions for animals belonging to different vertebrate classes."
Missouri Learning Standards: Science,Science,3,Life Sciences,3.LS1.B,Develop a model to compare and contrast observations on the life cycle of different plants and animals.
Missouri Learning Standards: Science,Science,K,Life Sciences,K.LS1.C,Use observations to describe patterns of what plants and animals (including humans) need to survive.
Missouri Learning Standards: Science,Science,5,Life Sciences,5.LS1.C,"Support an argument that plants get the materials (i.e. carbon dioxide, water, sunlight) they need for growth chiefly from air and water."
Missouri Learning Standards: Science,Science,4,Life Sciences,4.LS1.D,"Use a model to describe that animals receive different types of information through their senses, process the information in their brain, and respond to the information in different ways."
Missouri Learning Standards: Science,Science,2,Life Sciences,2.LS2.A.a,"Plan and conduct investigations on the growth of plants when growing conditions are altered (e.g., dark vs. light, water vs. no water)."
Missouri Learning Standards: Science,Science,2,Life Sciences,2.LS2.A.b,Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.
Missouri Learning Standards: Science,Science,5,Life Sciences,5.LS2.B,"Develop a model to describe the movement of matter among plants, animals, decomposers, and the environment."
Missouri Learning Standards: Science,Science,1,Life Sciences,1.LS3.A,"Make observations to construct an evidence based account that young plants and animals are like, but not exactly like, their parents."
Missouri Learning Standards: Science,Science,3,Life Sciences,3.LS3.A,Construct scientific arguments to support claims that some characteristics of organisms are inherited from parents and some are influenced by the environment.
Missouri Learning Standards: Science,Science,3,Life Sciences,3.LS3.B,Use evidence to construct an explanation for how the variations in characteristics among individuals of the same species may provide advantages in surviving and finding mates.
Missouri Learning Standards: Science,Science,3,Life Sciences,3.LS3.C,"Construct an argument with evidence that in a particular ecosystem some organisms -- based on structural adaptations or behaviors -- can survive well, some survive less well, and some cannot."
Missouri Learning Standards: Science,Science,3,Life Sciences,3.LS3.D,Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.
Missouri Learning Standards: Science,Science,1,Earth and Space Sciences,1.ESS1.A.a,"Describe the presence of the Sun, Moon, and stars in the sky over time."
Missouri Learning Standards: Science,Science,1,Earth and Space Sciences,1.ESS1.A.b,"Use observations of the sun, moon, and stars to describe patterns that can be predicted."
Missouri Learning Standards: Science,Science,5,Earth and Space Sciences,5.ESS1.A,Support an argument that relative distances from Earth affects the apparent brightness of the sun compared to other stars.
Missouri Learning Standards: Science,Science,K,Earth and Space Sciences,K.ESS1.B,Make observations during different seasons to relate the amount of daylight to the time of year.
Missouri Learning Standards: Science,Science,5,Earth and Space Sciences,5.ESS1.B.a,Make observations during different seasons to relate the amount of daylight to the time of year.
Missouri Learning Standards: Science,Science,5,Earth and Space Sciences,5.ESS1.B.b,"Represent data in graphical displays to reveal patterns of daily changes in length and direction of shadows, day and night, and the seasonal appearance of some stars in the night sky."
Missouri Learning Standards: Science,Science,2,Earth and Space Sciences,2.ESS1.C,Use information from several sources to provide evidence that Earth events can occur quickly or slowly.
Missouri Learning Standards: Science,Science,4,Earth and Space Sciences,4.ESS1.C,Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for changes in a landscape over time.
Missouri Learning Standards: Science,Science,2,Earth and Space Sciences,2.ESS2.A,Compare multiple solutions designed to slow or prevent wind or water from changing the shape of the land.
Missouri Learning Standards: Science,Science,4,Earth and Space Sciences,4.ESS2.A,Plan and conduct scientific investigations or simulations to provide evidence how natural processes (e.g. weathering and erosion) shape Earth's surfaces.
