Standard,Subject,Grade,Strand,Standard Number,Description
New York Standards,English,Pre K,Reading,PKR1,Participate in discussions about a text.
New York Standards,English,Pre K,Reading,PKR2,Retell stories or share information from a text.
New York Standards,English,Pre K,Reading,PKR3,"Develop and answer questions about characters, major events, and pieces of information in a text."
New York Standards,English,K,Reading,KR1,Develop and answer questions about a text.
New York Standards,English,K,Reading,KR2,Retell stories or share key details from a text.
New York Standards,English,K,Reading,KR3,"Identify characters, settings, major events in a story, or pieces of information in a text."
New York Standards,English,1,Reading,1R1,Develop and answer questions about key ideas and details in a text.
New York Standards,English,1,Reading,1R2,Identify a main topic or idea in a text and retell important details.
New York Standards,English,1,Reading,1R3,"Describe characters, settings, and major events in a story, or pieces of information in a text."
New York Standards,English,2,Reading,2R1,Develop and answer questions to demonstrate an understanding of key ideas and details in a text.
New York Standards,English,2,Reading,2R2,Identify a main topic or central idea and retell key details in a text; summarize portions of a text.
New York Standards,English,2,Reading,2R3,"In literary texts, describe how characters respond to major events and challenges. In informational texts, describe the connections among ideas, concepts, or a series of events."
New York Standards,English,3,Reading,3R1,Develop and answer questions to locate relevant and specific details in a text to support an answer or inference.
New York Standards,English,3,Reading,3R2,Determine a theme or central idea and explain how it is supported by key details; summarize portions of a text.
New York Standards,English,3,Reading,3R3,"In literary texts, describe character traits, motivations, or feelings, drawing on specific details from the text. In informational texts, describe the relationship among a series of events, ideas, concepts, or steps in a text, using language that pertains to time, sequence, and cause/effect."
New York Standards,English,4,Reading,4R1,Locate and refer to relevant details and evidence when explaining what a text says explicitly/implicitly and make logical inferences.
New York Standards,English,4,Reading,4R2,Determine a theme or central idea of text and explain how it is supported by key details; summarize a text.
New York Standards,English,4,Reading,4R3,"In literary texts, describe a character, setting, or event, drawing on specific details in the text. In informational texts, explain events, procedures, ideas, or concepts, including what happened and why, based on specific evidence from the text."
New York Standards,English,5,Reading,5R1,Locate and refer to relevant details and evidence when explaining what a text says explicitly/implicitly and make logical inferences.
New York Standards,English,5,Reading,5R2,Determine a theme or central idea and explain how it is supported by key details; summarize a text.
New York Standards,English,5,Reading,5R3,"In literary texts, compare and contrast two or more characters, settings, and events, drawing on specific details in the text. In informational texts, explain the relationships or interactions between two or more individuals, events, ideas, or concepts based on specific evidence from the text."
New York Standards,English,6,Reading,6R1,Cite textual evidence to support an analysis of what the text says explicitly/implicitly and make logical inferences.
New York Standards,English,6,Reading,6R2,Determine a theme or central idea of a text and how it is developed by key supporting details over the course of a text; summarize a text.
New York Standards,English,6,Reading,6R3,"In literary texts, describe how events unfold, as well as how characters respond or change as the plot moves toward a resolution. In informational texts, analyze how individuals, events, and ideas are introduced, relate to each other, and are developed."
New York Standards,English,7,Reading,7R1,Cite textual evidence to support an analysis of what the text says explicitly/implicitly and make logical inferences.
New York Standards,English,7,Reading,7R2,Determine a theme or central idea of a text and analyze its development over the course of the text; summarize a text.
New York Standards,English,7,Reading,7R3,"In literary texts, analyze how elements of plot are related, affect one another, and contribute to meaning. In informational texts, analyze how individuals, events, and ideas are introduced, relate to each other, and are developed."
New York Standards,English,8,Reading,8R1,Cite textual evidence to strongly support an analysis of what the text says explicitly/implicitly and make logical inferences.
New York Standards,English,8,Reading,8R2,Determine one or more themes or central ideas of a text and analyze their development over the course of the text; summarize a text.
New York Standards,English,8,Reading,8R3,"In literary texts, analyze how particular lines of dialogue or events propel the action, reveal aspects of a character, or provoke a decision. In informational texts, analyze how individuals, events, and ideas are introduced, relate to each other, and are developed."
New York Standards,English,9,Reading,9-10R1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly/implicitly and make logical inferences; develop questions for deeper understanding and for further exploration.
New York Standards,English,10,Reading,9-10R1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly/implicitly and make logical inferences; develop questions for deeper understanding and for further exploration.
New York Standards,English,9,Reading,9-10R2,"Determine one or more themes or central ideas in a text and analyze its development, including how it emerges and is shaped and refined by specific details; objectively and accurately summarize a text."
New York Standards,English,10,Reading,9-10R2,"Determine one or more themes or central ideas in a text and analyze its development, including how it emerges and is shaped and refined by specific details; objectively and accurately summarize a text."
New York Standards,English,9,Reading,9-10R3,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text. In literary texts, analyze how complex and/or dynamic characters develop, interact with other characters, advance the plot, or develop a theme. In informational texts, analyze how the author unfolds an analysis or argument, including the sequence, the introduction and development of ideas, and the connections that exist."
New York Standards,English,10,Reading,9-10R3,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text. In literary texts, analyze how complex and/or dynamic characters develop, interact with other characters, advance the plot, or develop a theme. In informational texts, analyze how the author unfolds an analysis or argument, including the sequence, the introduction and development of ideas, and the connections that exist."
