Standard,Subject,Grade,Strand,Standard Number,Description
New York Standards,Math,PK,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,K,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,1,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,2,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,3,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,4,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,5,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,6,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,7,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,8,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.
New York Standards,Math,PK,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,K,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,1,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,2,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,3,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,4,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,5,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,6,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,7,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,8,Mathematical Practice,MP.2,Reason abstractly and quantitatively.
New York Standards,Math,PK,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,K,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,1,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,2,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,3,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,4,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,5,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,6,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,7,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,8,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.
New York Standards,Math,PK,Mathematical Practice,MP.4,Model with mathematics.
New York Standards,Math,K,Mathematical Practice,MP.4,Model with mathematics.
New York Standards,Math,1,Mathematical Practice,MP.4,Model with mathematics.
New York Standards,Math,2,Mathematical Practice,MP.4,Model with mathematics.
New York Standards,Math,3,Mathematical Practice,MP.4,Model with mathematics.
New York Standards,Math,4,Mathematical Practice,MP.4,Model with mathematics.
New York Standards,Math,5,Mathematical Practice,MP.4,Model with mathematics.
New York Standards,Math,6,Mathematical Practice,MP.4,Model with mathematics.
New York Standards,Math,7,Mathematical Practice,MP.4,Model with mathematics.
