Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.1,"With prompting and support, ask and answer questions about key details in a text.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.2,"With prompting and support, retell familiar stories, including key details.",,,,,,
Ohio ELA Standard,English,K,Reading Standards for Literature,RL.K.3,"With prompting and support, identify characters, settings, and major events in a story.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.1,Ask and answer questions about key details in a text.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.2.a,Demonstrate understanding of the lesson.,,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.2.b,"Retell stories, including key details.",,,,,,
Ohio ELA Standard,English,1,Reading Standards for Literature,RL.1.3,"Describe characters, settings, and major events in a story, using key details.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.1,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.2.a,Determine the lesson or moral.,,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.2.b,"Retell stories, including fables and folktales from diverse cultures.",,,,,,
Ohio ELA Standard,English,2,Reading Standards for Literature,RL.2.3,Describe how characters in a story respond to major events and challenges.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.2,Analyze literary text development.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.2.a,Determine a theme and explain how it is conveyed through key details in the text.,,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.2.b,"Retell stories, including fables, folktales, and myths from diverse cultures.",,,,,,
Ohio ELA Standard,English,3,Reading Standards for Literature,RL.3.3,"Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events.",,,,,,
Ohio ELA Standard,English,4,Reading Standards for Literature,RL.4.1,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,,,,,,
