Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Mathematical Practice,MP.1,Make sense of problems and persevere in solving them.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Mathematical Practice,MP.2,Reason abstractly and quantitatively.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Mathematical Practice,MP.3,Construct viable arguments and critique the reasoning of others.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Mathematical Practice,MP.4,Model with mathematics.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Mathematical Practice,MP.5,Use appropriate tools strategically.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Mathematical Practice,MP.6,Attend to precision.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,K,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,1,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,2,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,3,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,4,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,5,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,6,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,7,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,8,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Mathematical Practice,MP.7,Look for and make use of structure.,,,,,,,,,,,,,,,,,,,,,,,,
