Standard,Subject,Grade,Strand,Standard Number,Description
PA Core - Mathematics,Math,PreK,Numbers and Operations,CC.2.1.PreK.A.1,Know number names and the count sequence.
PA Core - Mathematics,Math,PreK,Numbers and Operations,CC.2.1.PreK.A.2,Count to tell the number of objects.
PA Core - Mathematics,Math,PreK,Numbers and Operations,CC.2.1.PreK.A.3,Compare numbers.
PA Core - Mathematics,Math,K,Numbers and Operations,CC.2.1.K.A.1,Know number names and write and recite the count sequence.
PA Core - Mathematics,Math,K,Numbers and Operations,CC.2.1.K.A.2,Apply one-to-one correspondence to count the number of objects.
PA Core - Mathematics,Math,K,Numbers and Operations,CC.2.1.K.A.3,Apply the concept of magnitude to compare numbers and quantities.
PA Core - Mathematics,Math,K,Numbers and Operations,CC.2.1.K.B.1,Use place value to compose and decompose numbers within 19.
PA Core - Mathematics,Math,1,Numbers and Operations,CC.2.1.1.B.1,Extend the counting sequence to read and write numerals to represent objects.
PA Core - Mathematics,Math,1,Numbers and Operations,CC.2.1.1.B.2,Use place-value concepts to represent amounts of tens and ones and to compare two digit numbers.
PA Core - Mathematics,Math,1,Numbers and Operations,CC.2.1.1.B.3,Use place-value concepts and properties of operations to add and subtract within 100.
PA Core - Mathematics,Math,2,Numbers and Operations,CC.2.1.2.B.1,Use place-value concepts to represent amounts of tens and ones and to compare three digit numbers.
PA Core - Mathematics,Math,2,Numbers and Operations,CC.2.1.2.B.2,"Use place-value concepts to read, write, and skip count to 1000."
PA Core - Mathematics,Math,2,Numbers and Operations,CC.2.1.2.B.3,Use place-value understanding and properties of operations to add and subtract within 1000.
PA Core - Mathematics,Math,3,Numbers and Operations,CC.2.1.3.B.1,Apply place-value understanding and properties of operations to perform multi-digit arithmetic.
PA Core - Mathematics,Math,4,Numbers and Operations,CC.2.1.4.B.1,Apply place-value concepts to show an understanding of multi-digit whole numbers.
PA Core - Mathematics,Math,4,Numbers and Operations,CC.2.1.4.B.2,Use place-value understanding and properties of operations to perform multi-digit arithmetic.
PA Core - Mathematics,Math,5,Numbers and Operations,CC.2.1.5.B.1,Apply place-value concepts to show an understanding of operations and rounding as they pertain to whole numbers and decimals.
PA Core - Mathematics,Math,5,Numbers and Operations,CC.2.1.5.B.2,Extend an understanding of operations with whole numbers to perform operations including decimals.
PA Core - Mathematics,Math,3,Numbers and Operations,CC.2.1.3.C.1,Explore and develop an understanding of fractions as numbers.
PA Core - Mathematics,Math,4,Numbers and Operations,CC.2.1.4.C.1,Extend the understanding of fractions to show equivalence and ordering.
PA Core - Mathematics,Math,4,Numbers and Operations,CC.2.1.4.C.2,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.
PA Core - Mathematics,Math,4,Numbers and Operations,CC.2.1.4.C.3,"Connect decimal notation to fractions, and compare decimal fractions (base 10 denominator, e.g., 19/100)."
PA Core - Mathematics,Math,5,Numbers and Operations,CC.2.1.5.C.1,Use the understanding of equivalency to add and subtract fractions.
PA Core - Mathematics,Math,5,Numbers and Operations,CC.2.1.5.C.2,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.
PA Core - Mathematics,Math,6,Numbers and Operations,CC.2.1.6.D.1,Understand ratio concepts and use ratio reasoning to solve problems.
PA Core - Mathematics,Math,7,Numbers and Operations,CC.2.1.7.D.1,Analyze proportional relationships and use them to model and solve real-world and mathematical problems.
PA Core - Mathematics,Math,6,Numbers and Operations,CC.2.1.6.E.1,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.
PA Core - Mathematics,Math,6,Numbers and Operations,CC.2.1.6.E.2,Identify and choose appropriate processes to compute fluently with multi-digit numbers.
PA Core - Mathematics,Math,6,Numbers and Operations,CC.2.1.6.E.3,Develop and/or apply number theory concepts to find common factors and multiples.
PA Core - Mathematics,Math,6,Numbers and Operations,CC.2.1.6.E.4,Apply and extend previous understandings of numbers to the system of rational numbers.
PA Core - Mathematics,Math,7,Numbers and Operations,CC.2.1.7.E.1,Apply and extend previous understandings of operations with fractions to operations with rational numbers.
PA Core - Mathematics,Math,8,Numbers and Operations,CC.2.1.8.E.1,Distinguish between rational and irrational numbers using their properties.
PA Core - Mathematics,Math,8,Numbers and Operations,CC.2.1.8.E.4,Estimate irrational numbers by comparing them to rational numbers.
PA Core - Mathematics,Math,9,Numbers and Operations,CC.2.1.HS.F.1,Apply and extend the properties of exponents to solve problems with rational exponents.
PA Core - Mathematics,Math,10,Numbers and Operations,CC.2.1.HS.F.1,Apply and extend the properties of exponents to solve problems with rational exponents.
PA Core - Mathematics,Math,11,Numbers and Operations,CC.2.1.HS.F.1,Apply and extend the properties of exponents to solve problems with rational exponents.
PA Core - Mathematics,Math,12,Numbers and Operations,CC.2.1.HS.F.1,Apply and extend the properties of exponents to solve problems with rational exponents.
PA Core - Mathematics,Math,9,Numbers and Operations,CC.2.1.HS.F.2,Apply properties of rational and irrational numbers to solve real world or mathematical problems.
PA Core - Mathematics,Math,10,Numbers and Operations,CC.2.1.HS.F.2,Apply properties of rational and irrational numbers to solve real world or mathematical problems.
PA Core - Mathematics,Math,11,Numbers and Operations,CC.2.1.HS.F.2,Apply properties of rational and irrational numbers to solve real world or mathematical problems.
PA Core - Mathematics,Math,12,Numbers and Operations,CC.2.1.HS.F.2,Apply properties of rational and irrational numbers to solve real world or mathematical problems.
PA Core - Mathematics,Math,9,Numbers and Operations,CC.2.1.HS.F.3,"Apply quantitative reasoning to choose and interpret units and scales in formulas, graphs, and data displays."
PA Core - Mathematics,Math,10,Numbers and Operations,CC.2.1.HS.F.3,"Apply quantitative reasoning to choose and interpret units and scales in formulas, graphs, and data displays."
PA Core - Mathematics,Math,11,Numbers and Operations,CC.2.1.HS.F.3,"Apply quantitative reasoning to choose and interpret units and scales in formulas, graphs, and data displays."
PA Core - Mathematics,Math,12,Numbers and Operations,CC.2.1.HS.F.3,"Apply quantitative reasoning to choose and interpret units and scales in formulas, graphs, and data displays."
PA Core - Mathematics,Math,9,Numbers and Operations,CC.2.1.HS.F.4,Use units as a way to understand problems and to guide the solution of multi-step problems.
PA Core - Mathematics,Math,10,Numbers and Operations,CC.2.1.HS.F.4,Use units as a way to understand problems and to guide the solution of multi-step problems.
PA Core - Mathematics,Math,11,Numbers and Operations,CC.2.1.HS.F.4,Use units as a way to understand problems and to guide the solution of multi-step problems.
PA Core - Mathematics,Math,12,Numbers and Operations,CC.2.1.HS.F.4,Use units as a way to understand problems and to guide the solution of multi-step problems.
PA Core - Mathematics,Math,9,Numbers and Operations,CC.2.1.HS.F.5,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
PA Core - Mathematics,Math,10,Numbers and Operations,CC.2.1.HS.F.5,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
PA Core - Mathematics,Math,11,Numbers and Operations,CC.2.1.HS.F.5,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
PA Core - Mathematics,Math,12,Numbers and Operations,CC.2.1.HS.F.5,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
PA Core - Mathematics,Math,9,Numbers and Operations,CC.2.1.HS.F.6,Extend the knowledge of arithmetic operations and apply to complex numbers.
PA Core - Mathematics,Math,10,Numbers and Operations,CC.2.1.HS.F.6,Extend the knowledge of arithmetic operations and apply to complex numbers.
PA Core - Mathematics,Math,11,Numbers and Operations,CC.2.1.HS.F.6,Extend the knowledge of arithmetic operations and apply to complex numbers.
PA Core - Mathematics,Math,12,Numbers and Operations,CC.2.1.HS.F.6,Extend the knowledge of arithmetic operations and apply to complex numbers.
PA Core - Mathematics,Math,9,Numbers and Operations,CC.2.1.HS.F.7,Apply concepts of complex numbers in polynomial identities and quadratic equations to solve problems.
PA Core - Mathematics,Math,10,Numbers and Operations,CC.2.1.HS.F.7,Apply concepts of complex numbers in polynomial identities and quadratic equations to solve problems.
PA Core - Mathematics,Math,11,Numbers and Operations,CC.2.1.HS.F.7,Apply concepts of complex numbers in polynomial identities and quadratic equations to solve problems.
PA Core - Mathematics,Math,12,Numbers and Operations,CC.2.1.HS.F.7,Apply concepts of complex numbers in polynomial identities and quadratic equations to solve problems.
PA Core - Mathematics,Math,PreK,Algebraic Concepts,CC.2.2.PreK.A.1,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from."
PA Core - Mathematics,Math,K,Algebraic Concepts,CC.2.2.K.A.1,Extend the concepts of putting together and taking apart to add and subtract within 10.
PA Core - Mathematics,Math,1,Algebraic Concepts,CC.2.2.1.A.1,Represent and solve problems involving addition and subtraction within 20.
PA Core - Mathematics,Math,1,Algebraic Concepts,CC.2.2.1.A.2,Understand and apply properties of operations and the relationship between addition and subtraction.
PA Core - Mathematics,Math,2,Algebraic Concepts,CC.2.2.2.A.1,Represent and solve problems involving addition and subtraction within 100.
PA Core - Mathematics,Math,2,Algebraic Concepts,CC.2.2.2.A.2,Use mental strategies to add and subtract within 20.
PA Core - Mathematics,Math,2,Algebraic Concepts,CC.2.2.2.A.3,Work with equal groups of objects to gain foundations for multiplication.
PA Core - Mathematics,Math,3,Algebraic Concepts,CC.2.2.3.A.1,Represent and solve problems involving multiplication and division.
PA Core - Mathematics,Math,3,Algebraic Concepts,CC.2.2.3.A.2,Understand properties of multiplication and the relationship between multiplication and division.
PA Core - Mathematics,Math,3,Algebraic Concepts,CC.2.2.3.A.3,Demonstrate multiplication and division fluency.
