Standard,Subject,Grade,Strand,Standard Number,Description
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1,"The student will use the science and engineering practices, including the processes and skills of scientific inquiry, to develop understandings of science content."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A,"The practices of science and engineering support the development of science concepts, develop the habits of mind that are necessary for scientific thinking, and allow students to engage in science in ways that are similar to those used by scientists and engineers."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A.1,"Ask and answer questions about the natural world using explorations, observations, or structured investigations."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A.2,"Develop and use models to (1) understand or represent phenomena, processes, and relationships, (2) test devices or solutions, or (3) communicate ideas to others."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A.3,"With teacher guidance, conduct structured investigations to answer scientific questions, test predictions and develop explanations: (1) predict possible outcomes, (2) identify materials and follow procedures, (3) use appropriate tools or instruments to make qualitative observations and take nonstandard measurements, and (4) record and represent data in an appropriate form. Use appropriate safety procedures."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A.4,"Analyze and interpret data from observations, measurements, or investigations to understand patterns and meanings."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A.5,"Use mathematical thinking to (1) recognize and express quantitative observations, (2) collect and analyze data, or (3) understand patterns and relationships."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A.6,"Construct explanations of phenomena using (1) student-generated observations and measurements, (2) results of investigations, or (3) data communicated in graphs, tables, or diagrams."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A.7,Construct scientific arguments to support explanations using evidence from observations or data collected.
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1A.8,"Obtain and evaluate informational texts, observations, data collected, or discussions to (1) generate and answer questions about the natural world, (2) understand phenomena, (3) develop models, or (4) support explanations. Communicate observations and explanations using oral and written language."
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1B,Technology is any modification to the natural world created to fulfill the wants and needs of humans. The engineering design process involves a series of iterative steps used to solve a problem and often leads to the development of a new or improved technology.
South Carolina Academic Standards and Performance Indicators for Science,Science,K,Science and Engineering Practices,K.P.1B.1,"Construct devices or design solutions to solve specific problems or needs: (1) ask questions to identify problems or needs, (2) ask questions about the criteria and constraints of the devices or solutions, (3) generate and communicate ideas for possible devices or solutions, (4) build and test devices or solutions, (5) determine if the devices or solutions solved the problem, and (6) communicate the results."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1,"The student will use the science and engineering practices, including the processes and skills of scientific inquiry, to develop understandings of science content."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A,"The practices of science and engineering support the development of science concepts, develop the habits of mind that are necessary for scientific thinking, and allow students to engage in science in ways that are similar to those used by scientists and engineers."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A.1,"Ask and answer questions about the natural world using explorations, observations, or structured investigations."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A.2,"Develop and use models to (1) understand or represent phenomena, processes, and relationships, (2) test devices or solutions, or (3) communicate ideas to others."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A.3,"With teacher guidance, conduct structured investigations to answer scientific questions, test predictions and develop explanations: (1) predict possible outcomes, (2) identify materials and follow procedures, (3) use appropriate tools or instruments to collect qualitative and quantitative data, and (4) record and represent data in an appropriate form. Use appropriate safety procedures."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A.4,"Analyze and interpret data from observations, measurements, or investigations to understand patterns and meanings."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A.5,"Use mathematical and computational thinking to (1) recognize and express quantitative observations, (2) collect and analyze data, or (3) understand patterns and relationships."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A.6,"Construct explanations of phenomena using (1) student-generated observations and measurements, (2) results of scientific investigations, or (3) data communicated in graphs, tables, or diagrams."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A.7,Construct scientific arguments to support claims or explanations using evidence from observations or data collected.
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1A.8,"Obtain and evaluate informational texts, observations, data collected, or discussions to (1) generate and answer questions about the natural world, (2) understand phenomena, (3) develop models, or (4) support explanations. Communicate observations and explanations clearly through oral and written language."
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1B,Technology is any modification to the natural world created to fulfill the wants and needs of humans. The engineering design process involves a series of iterative steps used to solve a problem and often leads to the development of a new or improved technology.
South Carolina Academic Standards and Performance Indicators for Science,Science,1,Science and Engineering Practices,1.P.1B.1,"Construct devices or design solutions to solve specific problems or needs: (1) ask questions to identify problems or needs, (2) ask questions about the criteria and constraints of the devices or solutions, (3) generate and communicate ideas for possible devices or solutions, (4) build and test devices or solutions, (5) determine if the devices or solutions solved the problem, and (6) communicate the results."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1,"The student will use the science and engineering practices, including the processes and skills of scientific inquiry, to develop understandings of science content."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A,"The practices of science and engineering support the development of science concepts, develop the habits of mind that are necessary for scientific thinking, and allow students to engage in science in ways that are similar to those used by scientists and engineers."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A.1,"Ask and answer questions about the natural world using explorations, observations, or structured investigations."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A.2,"Develop and use models to (1) understand or represent phenomena, processes, and relationships, (2) test devices or solutions, or (3) communicate ideas to others."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A.3,"With teacher guidance, conduct structured investigations to answer scientific questions, test predictions and develop explanations: (1) predict possible outcomes, (2) identify materials and follow procedures, (3) use appropriate tools or instruments to collect qualitative and quantitative data, and (4) record and represent data in an appropriate form. Use appropriate safety procedures."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A.4,"Analyze and interpret data from observations, measurements, or investigations to understand patterns and meanings."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A.5,"Use mathematical and computational thinking to (1) express quantitative observations using appropriate English or metric units, (2) collect and analyze data, or (3) understand patterns, trends and relationships."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A.6,"Construct explanations of phenomena using (1) student-generated observations and measurements, (2) results of scientific investigations, or (3) data communicated in graphs, tables, or diagrams."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A.7,Construct scientific arguments to support claims or explanations using evidence from observations or data collected.
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1A.8,"Obtain and evaluate informational texts, observations, data collected, or discussions to (1) generate and answer questions about the natural world, (2) understand phenomena, (3) develop models, or (4) support explanations. Communicate observations and explanations using oral and written language."
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1B,Technology is any modification to the natural world created to fulfill the wants and needs of humans. The engineering design process involves a series of iterative steps used to solve a problem and often leads to the development of a new or improved technology.
South Carolina Academic Standards and Performance Indicators for Science,Science,2,Science and Engineering Practices,2.P.1B.1,"Construct devices or design solutions to solve specific problems or needs: (1) ask questions to identify problems or needs, (2) ask questions about the criteria and constraints of the devices or solutions, (3) generate and communicate ideas for possible devices or solutions, (4) build and test devices or solutions, (5) determine if the devices or solutions solved the problem, and (6) communicate the results."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1,"The student will use the science and engineering practices, including the processes and skills of scientific inquiry, to develop understandings of science content."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A,"The practices of science and engineering support the development of science concepts, develop the habits of mind that are necessary for scientific thinking, and allow students to engage in science in ways that are similar to those used by scientists and engineers."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A.1,"Ask questions that can be (1) answered using scientific investigations or (2) used to refine models, explanations, or designs."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A.2,"Develop, use, and refine models to (1) understand or represent phenomena, processes, and relationships, (2) test devices or solutions, or (3) communicate ideas to others."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A.3,"Plan and conduct scientific investigations to answer questions, test predictions and develop explanations: (1) formulate scientific questions and predict possible outcomes, (2) identify materials, procedures, and variables, (3) select and use appropriate tools or instruments to collect qualitative and quantitative data, and (4) record and represent data in an appropriate form. Use appropriate safety procedures."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A.4,"Analyze and interpret data from observations, measurements, or investigations to understand patterns and meanings."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A.5,"Use mathematical and computational thinking to (1) express quantitative observations using appropriate English or metric units, (2) collect and analyze data, or (3) understand patterns, trends and relationships."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A.6,"Construct explanations of phenomena using (1) scientific evidence and models, (2) conclusions from scientific investigations, (3) predictions based on observations and measurements, or (4) data communicated in graphs, tables, or diagrams."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A.7,"Construct scientific arguments to support claims, explanations, or designs using evidence from observations, data, or informational texts."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1A.8,"Obtain and evaluate informational texts, observations, data collected, or discussions to (1) generate and answer questions, (2) understand phenomena, (3) develop models, or (4) support explanations, claims, or designs. Communicate observations and explanations using the conventions and expectations of oral and written language."
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1B,Technology is any modification to the natural world created to fulfill the wants and needs of humans. The engineering design process involves a series of iterative steps used to solve a problem and often leads to the development of a new or improved technology.
South Carolina Academic Standards and Performance Indicators for Science,Science,3,Science and Engineering Practices,3.P.1B.1,"Construct devices or design solutions to solve specific problems or needs: (1) ask questions to identify problems or needs, (2) ask questions about the criteria and constraints of the devices or solutions, (3) generate and communicate ideas for possible devices or solutions, (4) build and test devices or solutions, (5) determine if the devices or solutions solved the problem and refine the design if needed, and (6) communicate the results."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1,"The student will use the science and engineering practices, including the processes and skills of scientific inquiry, to develop understandings of science content."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1A,"The practices of science and engineering support the development of science concepts, develop the habits of mind that are necessary for scientific thinking, and allow students to engage in science in ways that are similar to those used by scientists and engineers."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1A.1,"Ask questions that can be (1) answered using scientific investigations or (2) used to refine models, explanations, or designs."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1A.2,"Develop, use, and refine models to (1) understand or represent phenomena, processes, and relationships, (2) test devices or solutions, or (3) communicate ideas to others."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1A.3,"Plan and conduct scientific investigations to answer questions, test predictions and develop explanations: (1) formulate scientific questions and predict possible outcomes, (2) identify materials, procedures, and variables, (3) select and use appropriate tools or instruments to collect qualitative and quantitative data, and (4) record and represent data in an appropriate form. Use appropriate safety procedures."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1A.4,"Analyze and interpret data from informational texts, observations, measurements, or investigations using a range of methods (such as tabulation or graphing) to (1) reveal patterns and construct meaning or (2) support explanations, claims, or designs."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1A.5,"Use mathematical and computational thinking to (1) express quantitative observations using appropriate English or metric units, (2) collect and analyze data, or (3) understand patterns, trends and relationships between variables."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1A.6,"Construct explanations of phenomena using (1) scientific evidence and models, (2) conclusions from scientific investigations, (3) predictions based on observations and measurements, or (4) data communicated in graphs, tables, or diagrams."
South Carolina Academic Standards and Performance Indicators for Science,Science,4,Science and Engineering Practices,4.P.1A.7,"Construct scientific arguments to support claims, explanations, or designs using evidence from observations, data, or informational texts."
