Standard,Subject,Grade,Strand,Standard Number,Description,,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,4,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,5,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,6,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,7,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,8,Inquiry Based Literacy,I.K-8.1,"Formulate relevant, self-generated questions based on interests and/or needs that can be investigated.",,
South Carolina College and Career Ready Standards for ELA,English,K,Inquiry Based Literacy,I.K.1.1,"Engage in daily opportunities for play and exploration to foster a sense of curiosity, develop the disposition of inquisitiveness, and begin to verbally articulate I wonders"" about ideas of interest.""",,
South Carolina College and Career Ready Standards for ELA,English,1,Inquiry Based Literacy,I.1.1.1,"Translate wonderings"" into questions that lead to group conversations",explorations," and investigations."""
South Carolina College and Career Ready Standards for ELA,English,2,Inquiry Based Literacy,I.2.1.1,"Ask self-generated questions that lead to group conversations, explorations, and investigations.",,
South Carolina College and Career Ready Standards for ELA,English,3,Inquiry Based Literacy,I.3.1.1,Formulate questions to focus thinking on an idea to narrow and direct further inquiry.,,
