Standard,Subject,Grade,Strand,Standard Number,Description
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.1,Count forward by ones and tens to 100.
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.2,Count forward by ones beginning from any number less than 100.
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.3,Read numbers from 0 – 20 and represent a number of objects 0 – 20 with a written numeral.
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.4,Understand the relationship between number and quantity. Connect counting to cardinality by demonstrating an understanding that:
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.4a,the last number said tells the number of objects in the set (cardinality);
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.4b,the number of objects is the same regardless of their arrangement or the order in which they are counted (conservation of number);
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.4c,each successive number name refers to a quantity that is one more and each previous number name refers to a quantity that is one less.
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.5,Count a given number of objects from 1 – 20 and connect this sequence in a one-to-one manner.
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.6,Recognize a quantity of up to ten objects in an organized arrangement (subitizing).
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.7,"Determine whether the number of up to ten objects in one group is more than, less than, or equal to the number of up to ten objects in another group using matching and counting strategies."
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.8,"Compare two written numerals up to 10 using more than, less than or equal to."
South Carolina College and Career Ready Standards for Mathematics,Math,K,The Number Sense,K.NS.9,Identify first through fifth and last positions in a line of objects.
South Carolina College and Career Ready Standards for Mathematics,Math,K,Number Sense and Base ten,K.NSBT.1,Compose and decompose numbers from 11 – 19 separating ten ones from the remaining ones using objects and drawings.
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.1,Extend the number sequence to:
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.1a,count forward by ones to 120 starting at any number;
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.1b,"count by fives and tens to 100, starting at any number;"
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.1c,"read, write and represent numbers to 100 using concrete models, standard form, and equations in expanded form;"
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.1d,"read and write in word form numbers zero through nineteen, and multiples of ten through ninety."
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.2,Understand place value through 99 by demonstrating that:
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.2a,"ten ones can be thought of as a bundle (group) called a ten"";"""
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.2b,the tens digit in a two-digit number represents the number of tens and the ones digit represents the number of ones;
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.2c,"two-digit numbers can be decomposed in a variety of ways (e.g., 52 can be decomposed as 5 tens and 2 ones or 4 tens and 12 ones, etc.) and record the decomposition as an equation."
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.3,"Compare two two-digit numbers based on the meanings of the tens and ones digits, using the words greater than, equal to, or less than."
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.4,"Add through 99 using concrete models, drawings, and strategies based on place value to:"
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.4a,"add a two-digit number and a one-digit number, understanding that sometimes it is necessary to compose a ten (regroup);"
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.4b,add a two-digit number and a multiple of 10.
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.5,"Determine the number that is 10 more or 10 less than a given number through 99 and explain the reasoning verbally and with multiple representations, including concrete models."
South Carolina College and Career Ready Standards for Mathematics,Math,1,Number Sense and Base ten,1.NSBT.6,"Subtract a multiple of 10 from a larger multiple of 10, both in the range 10 to 90, using concrete models, drawings, and strategies based on place value."
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.1,Understand place value through 999 by demonstrating that:
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.1a,"100 can be thought of as a bundle (group) of 10 tens called a hundred"";"""
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.1b,"the hundreds digit in a three-digit number represents the number of hundreds, the tens digit represents the number of tens, and the ones digit represents the number of ones;"
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.1c,"three-digit numbers can be decomposed in multiple ways (e.g., 524 can be decomposed as 5 hundreds, 2 tens and 4 ones or 4 hundreds, 12 tens, and 4 ones, etc.)."
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.2,"Count by tens and hundreds to 1,000 starting with any number."
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.3,"Read, write and represent numbers through 999 using concrete models, standard form, and equations in expanded form."
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.4,"Compare two numbers with up to three digits using words and symbols (i.e., >, =, or <)."
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.5,Add and subtract fluently through 99 using knowledge of place value and properties of operations.
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.6,Add up to four two-digit numbers using strategies based on knowledge of place value and properties of operations.
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.7,"Add and subtract through 999 using concrete models, drawings, and symbols which convey strategies connected to place value understanding."
South Carolina College and Career Ready Standards for Mathematics,Math,2,Number Sense and Base ten,2.NSBT.8,"Determine the number that is 10 or 100 more or less than a given number through 1,000 and explain the reasoning verbally and in writing."
South Carolina College and Career Ready Standards for Mathematics,Math,3,Number Sense and Base ten,3.NSBT.1,Use place value understanding to round whole numbers to the nearest 10 or 100.
South Carolina College and Career Ready Standards for Mathematics,Math,3,Number Sense and Base ten,3.NSBT.2,"Add and subtract whole numbers fluently to 1,000 using knowledge of place value and properties of operations."
South Carolina College and Career Ready Standards for Mathematics,Math,3,Number Sense and Base ten,3.NSBT.3,"Multiply one-digit whole numbers by multiples of 10 in the range 10 – 90, using knowledge of place value and properties of operations."
