Standard,Subject,Grade,Strand,Standard Number,Description
PA Core - ELA,English,PK,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.PK.A,Practice appropriate book handling skills.
PA Core - ELA,English,K,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.K.A,Utilize book handing skills.
PA Core - ELA,English,PK,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.PK.B,Identify basic features of print. <ul><li>Differentiate between numbers and letters and letters and words.</li><li>Recognize and name some uppercase and lowercase letters of the alphabet.</li></ul>
PA Core - ELA,English,K,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.K.B,"Demonstrate understanding of the organization and basic features of print. <ul><li>Follow words left to right, top to bottom, and page by page.</li><li>Recognize that spoken words are represented in written language by specific sequences of letters.</li><li>Understand that words are separated by spaces in print.</li><li>Recognize and name all uppercase and lowercase letters of the alphabet.</li></ul>"
PA Core - ELA,English,1,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.1.B,Demonstrate understanding of the organization and basic features of print. <ul><li>Recognize the distinguishing features of a sentence.</li></ul>
PA Core - ELA,English,PK,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.PK.C,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes). <ul><li>Recognize rhyming words and when two or more words begin with the same sound (alliteration).</li><li>Count syllables in spoken words.</li><li>Segment single-syllable spoken words.</li><li>Isolate and pronounce initial sounds.</li></ul>"
PA Core - ELA,English,K,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.K.C,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes). <ul><li>Recognize and produce rhyming words.</li><li>Count, pronounce, blend, and segment syllables in spoken words.</li><li>Blend and segment onsets and rimes of single-syllable spoken words.</li><li>Isolate and pronounce the initial, medial vowel, and final sound (phonemes) in the three-phoneme (CVC) words.</li></ul>"
PA Core - ELA,English,1,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.1.C,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes). <ul><li>Distinguish long from short vowel sounds in spoken single-syllable words.</li><li>Count, pronounce, blend, and segment syllables in spoken and written words.</li><li>Orally produce single-syllable words, including consonant blends and digraphs</li><li>Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.</li><li>Add or substitute individual sounds (phonemes) in one-syllable words to make new words.</li></ul>"
PA Core - ELA,English,PK,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.PK.D,Develop beginning phonics and word skills. <ul><li>Associate some letters with their names and sounds.</li><li>Identify familiar words and environmental print.</li></ul>
PA Core - ELA,English,K,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.K.D,Know and apply grade-level phonics and word analysis skills in decoding words. <ul><li>Demonstrate basic knowledge of one-to-one letter-sound correspondence.</li><li>Associate the long and short sounds with common spellings for the five major vowels.</li><li>Read grade-level high-frequency sight words with automaticity.</li><li>Distinguish between similarly spelled words by identifying the sounds of the letters that differ.</li></ul>
PA Core - ELA,English,1,"Foundational Skills: Students gain a working knowledge of concepts of print, alphabetic principle, and other basic conventions.",CC.1.1.1.D,"Know and apply grade-level phonics and word analysis skills in decoding words. <ul><li>Identify common consonant diagraphs, final-e, and common vowel teams.</li><li>Decode one- and two-syllable words with common patterns.</li><li>Read grade-level words with inflectional endings.</li><li>Read grade-appropriate irregularly spelled words.</li></ul>"
