State,Subject,Category,Standards
California,ELA ,K12,Common Core ELA
California,Math,K12,Common Core Math
California,Science,K12,Next Generation Science
Connecticut,ELA ,K12,Common Core ELA
Connecticut,Math,K12,Common Core Math
Connecticut,Science,K12,Next Generation Science
Delaware,ELA ,K12,Common Core ELA
Delaware,Math,K12,Common Core Math
Delaware,Science,K12,Next Generation Science
Dist. Of Columbia,ELA ,K12,Common Core ELA
Dist. Of Columbia,Math,K12,Common Core Math
Dist. Of Columbia,Science,K12,Next Generation Science
Hawaii,ELA ,K12,Common Core ELA
Hawaii,Math,K12,Common Core Math
Hawaii,Science,K12,Next Generation Science
Idaho,ELA ,K12,Common Core ELA
Idaho,Math,K12,Common Core Math
Idaho,Science,K12,Next Generation Science
Illinois,ELA ,K12,Common Core ELA
Illinois,Math,K12,Common Core Math
Illinois,Science,K12,Next Generation Science
Maryland,ELA ,K12,Common Core ELA
Maryland,Math,K12,Common Core Math
Maryland,Science,K12,Next Generation Science
Montana,ELA ,K12,Common Core ELA
Montana,Math,K12,Common Core Math
Montana,Science,K12,Next Generation Science
Nevada,ELA ,K12,Common Core ELA
Nevada,Math,K12,Common Core Math
Nevada,Science,K12,Next Generation Science
New Jersey,ELA ,K12,Common Core ELA
New Jersey,Math,K12,Common Core Math
New Jersey,Science,K12,Next Generation Science
New Mexico,ELA ,K12,Common Core ELA
New Mexico,Math,K12,Common Core Math
New Mexico,Science,K12,Next Generation Science
Oregon,ELA ,K12,Common Core ELA
Oregon,Math,K12,Common Core Math
Oregon,Science,K12,Next Generation Science
South Dakota,ELA ,K12,Common Core ELA
South Dakota,Math,K12,Common Core Math
South Dakota,Science,K12,Next Generation Science
Vermont,ELA ,K12,Common Core ELA
Vermont,Math,K12,Common Core Math
Vermont,Science,K12,Next Generation Science
Washington,ELA ,K12,Common Core ELA
Washington,Math,K12,Common Core Math
Washington,Science,K12,Next Generation Science
New York,ELA ,K12,NY Next Gen ELA 
New York,Math,K12,NY Next Generation Math
New York,Science,K12,Next Generation Science
Ohio,ELA ,K12,Ohio Learning Stanards ELA
Ohio,Math,K12,Ohio Learning Standards for Math
Pennsylvania,ELA ,K12,Pennsylvania Core Standards for ELA
Pennsylvania,Math,K12,Pennsylvania Core Standards for Math
Alabama,ELA,Adult,College and Career Readiness Stanards for ELA
Alabama,Math,Adult,College and Career Readiness Stanards for Math
Alaska,ELA,Adult,College and Career Readiness Stanards for ELA
Alaska,Math,Adult,College and Career Readiness Stanards for Math
Arizona,ELA,Adult,College and Career Readiness Stanards for ELA
Arizona,Math,Adult,College and Career Readiness Stanards for Math
Arkansas,ELA,Adult,College and Career Readiness Stanards for ELA
Arkansas,Math,Adult,College and Career Readiness Stanards for Math
California,ELA,Adult,College and Career Readiness Stanards for ELA
California,Math,Adult,College and Career Readiness Stanards for Math
Colorado,ELA,Adult,College and Career Readiness Stanards for ELA
Colorado,Math,Adult,College and Career Readiness Stanards for Math
Connecticut,ELA,Adult,College and Career Readiness Stanards for ELA
Connecticut,Math,Adult,College and Career Readiness Stanards for Math
Delaware,ELA,Adult,College and Career Readiness Stanards for ELA
Delaware,Math,Adult,College and Career Readiness Stanards for Math
Dist. Of Columbia,ELA,Adult,College and Career Readiness Stanards for ELA
Dist. Of Columbia,Math,Adult,College and Career Readiness Stanards for Math
Florida,ELA,Adult,College and Career Readiness Stanards for ELA
Florida,Math,Adult,College and Career Readiness Stanards for Math
Georgia,ELA,Adult,College and Career Readiness Stanards for ELA
Georgia,Math,Adult,College and Career Readiness Stanards for Math
Guantanamo Bay,ELA,Adult,College and Career Readiness Stanards for ELA
Guantanamo Bay,Math,Adult,College and Career Readiness Stanards for Math
Hawaii,ELA,Adult,College and Career Readiness Stanards for ELA
Hawaii,Math,Adult,College and Career Readiness Stanards for Math
Idaho,ELA,Adult,College and Career Readiness Stanards for ELA
Idaho,Math,Adult,College and Career Readiness Stanards for Math
Illinois,ELA,Adult,College and Career Readiness Stanards for ELA
Illinois,Math,Adult,College and Career Readiness Stanards for Math
Indiana,ELA,Adult,College and Career Readiness Stanards for ELA
Indiana,Math,Adult,College and Career Readiness Stanards for Math
Iowa,ELA,Adult,College and Career Readiness Stanards for ELA
Iowa,Math,Adult,College and Career Readiness Stanards for Math
Kansas,ELA,Adult,College and Career Readiness Stanards for ELA
Kansas,Math,Adult,College and Career Readiness Stanards for Math
Kentucky,ELA,Adult,College and Career Readiness Stanards for ELA
Kentucky,Math,Adult,College and Career Readiness Stanards for Math
Louisiana,ELA,Adult,College and Career Readiness Stanards for ELA
Louisiana,Math,Adult,College and Career Readiness Stanards for Math
Maine,ELA,Adult,College and Career Readiness Stanards for ELA
Maine,Math,Adult,College and Career Readiness Stanards for Math
Maryland,ELA,Adult,College and Career Readiness Stanards for ELA
Maryland,Math,Adult,College and Career Readiness Stanards for Math
Massachusetts,ELA,Adult,College and Career Readiness Stanards for ELA
Massachusetts,Math,Adult,College and Career Readiness Stanards for Math
Michigan,ELA,Adult,College and Career Readiness Stanards for ELA
Michigan,Math,Adult,College and Career Readiness Stanards for Math
Minnesota,ELA,Adult,College and Career Readiness Stanards for ELA
Minnesota,Math,Adult,College and Career Readiness Stanards for Math
Mississippi,ELA,Adult,College and Career Readiness Stanards for ELA
Mississippi,Math,Adult,College and Career Readiness Stanards for Math
Missouri,ELA,Adult,College and Career Readiness Stanards for ELA
Missouri,Math,Adult,College and Career Readiness Stanards for Math
Montana,ELA,Adult,College and Career Readiness Stanards for ELA
Montana,Math,Adult,College and Career Readiness Stanards for Math
